V1,Date,CodRes,PM2.5,Cod,ano,month
1457,2023-01-01,ID_3123528,7.981150627,3123528,2023,1
1458,2023-01-02,ID_3123528,10.60509014,3123528,2023,1
1459,2023-01-03,ID_3123528,9.062311172,3123528,2023,1
1460,2023-01-04,ID_3123528,10.28924561,3123528,2023,1
1461,2023-01-05,ID_3123528,11.10922718,3123528,2023,1
1462,2023-01-06,ID_3123528,12.80992889,3123528,2023,1
1463,2023-01-07,ID_3123528,6.748141766,3123528,2023,1
1464,2023-01-08,ID_3123528,7.325165749,3123528,2023,1
1465,2023-01-09,ID_3123528,8.606765747,3123528,2023,1
1466,2023-01-10,ID_3123528,6.499110699,3123528,2023,1
1467,2023-01-11,ID_3123528,9.797257423,3123528,2023,1
1468,2023-01-12,ID_3123528,10.15561962,3123528,2023,1
1469,2023-01-13,ID_3123528,8.667505264,3123528,2023,1
1470,2023-01-14,ID_3123528,8.594617844,3123528,2023,1
1471,2023-01-15,ID_3123528,6.559849739,3123528,2023,1
1472,2023-01-16,ID_3123528,4.245680809,3123528,2023,1
1473,2023-01-17,ID_3123528,5.0413661,3123528,2023,1
1474,2023-01-18,ID_3123528,7.325165749,3123528,2023,1
1475,2023-01-19,ID_3123528,7.634936333,3123528,2023,1
1476,2023-01-20,ID_3123528,12.99214745,3123528,2023,1
1477,2023-01-21,ID_3123528,9.329564095,3123528,2023,1
1478,2023-01-22,ID_3123528,10.28317165,3123528,2023,1
1479,2023-01-23,ID_3123528,12.94962978,3123528,2023,1
1480,2023-01-24,ID_3123528,11.29751873,3123528,2023,1
1481,2023-01-25,ID_3123528,10.59901714,3123528,2023,1
1482,2023-01-26,ID_3123528,8.230181694,3123528,2023,1
1483,2023-01-27,ID_3123528,9.311342239,3123528,2023,1
1484,2023-01-28,ID_3123528,7.713897705,3123528,2023,1
1485,2023-01-29,ID_3123528,7.203687191,3123528,2023,1
1486,2023-01-30,ID_3123528,8.254477501,3123528,2023,1
1487,2023-01-31,ID_3123528,4.44004631,3123528,2023,1
1488,2023-02-01,ID_3123528,5.16891861,3123528,2023,2
1489,2023-02-02,ID_3123528,5.739868641,3123528,2023,2
1490,2023-02-03,ID_3123528,5.448319912,3123528,2023,2
1491,2023-02-04,ID_3123528,4.622264385,3123528,2023,2
1492,2023-02-05,ID_3123528,5.302545071,3123528,2023,2
1493,2023-02-06,ID_3123528,9.548226357,3123528,2023,2
1494,2023-02-07,ID_3123528,9.451043129,3123528,2023,2
1495,2023-02-08,ID_3123528,9.208086014,3123528,2023,2
1496,2023-02-09,ID_3123528,6.341188431,3123528,2023,2
1497,2023-02-10,ID_3123528,7.221908569,3123528,2023,2
1498,2023-02-11,ID_3123528,6.250079155,3123528,2023,2
1499,2023-02-12,ID_3123528,6.644885063,3123528,2023,2
1500,2023-02-13,ID_3123528,8.139073372,3123528,2023,2
1501,2023-02-14,ID_3123528,5.108179569,3123528,2023,2
1502,2023-02-15,ID_3123528,4.725521564,3123528,2023,2
1503,2023-02-16,ID_3123528,6.978951454,3123528,2023,2
1504,2023-02-17,ID_3123528,7.683527946,3123528,2023,2
1505,2023-02-18,ID_3123528,7.634936333,3123528,2023,2
1506,2023-02-19,ID_3123528,9.742591858,3123528,2023,2
1507,2023-02-20,ID_3123528,7.89611578,3123528,2023,2
1508,2023-02-21,ID_3123528,5.612316132,3123528,2023,2
1509,2023-02-22,ID_3123528,9.135198593,3123528,2023,2
1510,2023-02-23,ID_3123528,8.412400246,3123528,2023,2
1511,2023-02-24,ID_3123528,8.454917908,3123528,2023,2
1512,2023-02-25,ID_3123528,6.845324993,3123528,2023,2
1513,2023-02-26,ID_3123528,5.314692974,3123528,2023,2
1514,2023-02-27,ID_3123528,6.371557713,3123528,2023,2
1515,2023-02-28,ID_3123528,6.735993862,3123528,2023,2
1516,2023-03-01,ID_3123528,6.650959015,3123528,2023,3
1517,2023-03-02,ID_3123528,7.367683411,3123528,2023,3
1518,2023-03-03,ID_3123528,4.397529125,3123528,2023,3
1519,2023-03-04,ID_3123528,5.588020325,3123528,2023,3
1520,2023-03-05,ID_3123528,4.421824932,3123528,2023,3
1521,2023-03-06,ID_3123528,5.217510223,3123528,2023,3
1522,2023-03-07,ID_3123528,7.173317432,3123528,2023,3
1523,2023-03-08,ID_3123528,7.786784649,3123528,2023,3
1524,2023-03-09,ID_3123528,7.586344719,3123528,2023,3
1525,2023-03-10,ID_3123528,5.338988781,3123528,2023,3
1526,2023-03-11,ID_3123528,6.766363621,3123528,2023,3
1527,2023-03-12,ID_3123528,8.740392685,3123528,2023,3
1528,2023-03-13,ID_3123528,8.151221275,3123528,2023,3
1529,2023-03-14,ID_3123528,6.335114479,3123528,2023,3
1530,2023-03-15,ID_3123528,5.946382523,3123528,2023,3
1531,2023-03-16,ID_3123528,6.978951454,3123528,2023,3
1532,2023-03-17,ID_3123528,4.828778267,3123528,2023,3
1533,2023-03-18,ID_3123528,5.588020325,3123528,2023,3
1534,2023-03-19,ID_3123528,5.970678329,3123528,2023,3
1535,2023-03-20,ID_3123528,4.889517784,3123528,2023,3
1536,2023-03-21,ID_3123528,4.998848438,3123528,2023,3
1537,2023-03-22,ID_3123528,6.450519085,3123528,2023,3
1538,2023-03-23,ID_3123528,8.254477501,3123528,2023,3
1539,2023-03-24,ID_3123528,5.648759365,3123528,2023,3
1540,2023-03-25,ID_3123528,4.919887543,3123528,2023,3
1541,2023-03-26,ID_3123528,5.375432491,3123528,2023,3
1542,2023-03-27,ID_3123528,6.991099358,3123528,2023,3
1543,2023-03-28,ID_3123528,8.807206154,3123528,2023,3
1544,2023-03-29,ID_3123528,6.650959015,3123528,2023,3
1545,2023-03-30,ID_3123528,5.721646786,3123528,2023,3
1546,2023-03-31,ID_3123528,5.703424931,3123528,2023,3
1547,2023-04-01,ID_3123528,7.124725819,3123528,2023,4
1548,2023-04-02,ID_3123528,11.15781879,3123528,2023,4
1549,2023-04-03,ID_3123528,8.278773308,3123528,2023,4
1550,2023-04-04,ID_3123528,7.03361702,3123528,2023,4
1551,2023-04-05,ID_3123528,7.817154408,3123528,2023,4
1552,2023-04-06,ID_3123528,7.817154408,3123528,2023,4
1553,2023-04-07,ID_3123528,7.665306091,3123528,2023,4
1554,2023-04-08,ID_3123528,7.641010284,3123528,2023,4
1555,2023-04-09,ID_3123528,7.428422451,3123528,2023,4
1556,2023-04-10,ID_3123528,4.925961494,3123528,2023,4
1557,2023-04-11,ID_3123528,5.909938812,3123528,2023,4
1558,2023-04-12,ID_3123528,7.683527946,3123528,2023,4
1559,2023-04-13,ID_3123528,8.218033791,3123528,2023,4
1560,2023-04-14,ID_3123528,6.906064034,3123528,2023,4
1561,2023-04-15,ID_3123528,5.490837097,3123528,2023,4
1562,2023-04-16,ID_3123528,5.278249741,3123528,2023,4
1563,2023-04-17,ID_3123528,6.262227058,3123528,2023,4
1564,2023-04-18,ID_3123528,7.203687191,3123528,2023,4
1565,2023-04-19,ID_3123528,9.870144844,3123528,2023,4
1566,2023-04-20,ID_3123528,8.32129097,3123528,2023,4
1567,2023-04-21,ID_3123528,6.450519085,3123528,2023,4
1568,2023-04-22,ID_3123528,6.802807331,3123528,2023,4
1569,2023-04-23,ID_3123528,6.845324993,3123528,2023,4
1570,2023-04-24,ID_3123528,5.114253521,3123528,2023,4
